,GP1 Count (%),GP2 Count (%),GP3 Count (%),GP4 Count (%)
̃,1617 (45.03%),406 (46.88%),257 (46.64%),113 (55.39%)
⁊,564 (15.71%),183 (21.13%),67 (12.16%),2 (0.98%)
ẜ,58 (1.62%),90 (10.39%),53 (9.62%),19 (9.31%)
ꝑ,292 (8.13%),13 (1.50%),25 (4.54%),11 (5.39%)
̾,354 (9.86%),21 (2.42%),12 (2.18%),10 (4.90%)
ł,130 (3.62%),20 (2.31%),24 (4.36%),8 (3.92%)
ͣ,145 (4.04%),15 (1.73%),17 (3.09%),4 (1.96%)
ͤ,6 (0.17%),25 (2.89%),22 (3.99%),6 (2.94%)
᷑,61 (1.70%),16 (1.85%),9 (1.63%),8 (3.92%)
ꝯ,178 (4.96%),6 (0.69%),10 (1.81%),2 (0.98%)
ᷤ,4 (0.11%),14 (1.62%),14 (2.54%),4 (1.96%)
ꝰ,27 (0.75%),16 (1.85%),3 (0.54%),6 (2.94%)
ͥ,70 (1.95%),8 (0.92%),4 (0.73%),2 (0.98%)
ħ,22 (0.61%),7 (0.81%),9 (1.63%),1 (0.49%)
ꝓ,42 (1.17%),1 (0.12%),7 (1.27%),2 (0.98%)
